34;4;KD;HI;3x;19;3
35;1;OD;ol;3y;1;3
35;2;PW;EN;3t;18;3
35;2;PL;DA;3y;4;3
35;3;PW;EN;3t;6;3
35;4;BB;EN;3x;11;3
35;4;PW;EN;3t;8;3
36;1;TT;re;3w;11;3
36;1;TQ;SA;3x;3;3
36;2;KD;HI;3x;19;3
36;3;AP;HI;3w;12;3
36;3;OD;ol;3y;15;3
36;4;KD;HI;3x;13;3
36;4;OD;HI;3y;19;3
37;1;TT;re;3t;18;3
37;2;OD;ol;3x;16;3
37;2;LM;DA;3t;13;3
37;2;PL;DA;3y;10;3
37;3;PW;EN;3t;8;3
37;3;AP;HI;3w;1;3
37;4;OD;HI;3t;6;3
38;1;KD;HI;3x;10;3
38;2;BB;EN;3x;19;3
38;2;SR;BT;3w;16;3
38;3;LM;EN;3y;8;3
38;3;TQ;SA;3x;17;3
38;3;PW;EN;3t;4;3
38;4;BB;EN;3x;14;3
39;1;OA;Fy;3w;2;3
39;3;AP;HI;3w;1;3
39;4;BB;EN;3x;7;3
40;1;OA;fy;3t;18;3
40;3;PL;DA;3y;12;3
40;3;BB;EN;3x;4;3
40;3;PW;DA;3w;11;3
40;4;HD;MA;3w;15;3
40;4;PL;DA;3y;18;3
41;1;LM;DA;3t;18;3
41;2;OD;HI;3y;6;3
41;2;MD;Fy;3x;4;3
41;3;OD;ol;3x;12;3
41;3;PL;DA;3y;11;3
42;1;LM;DA;3t;5;3
42;1;SR;BT;3w;7;3
42;1;OD;ol;3y;15;3
42;3;TT;re;3w;2;3
42;3;BE;DA;3x;15;3
43;1;LM;DA;3t;1;3
43;1;OD;ol;3x;15;3
43;2;LM;EN;3y;11;3
43;2;AP;HI;3w;2;3
43;3;BB;EN;3x;17;3
43;3;LM;DA;3t;10;3
44;1;LM;EN;3y;7;3
44;1;SR;BT;3w;10;3
44;1;BB;EN;3x;15;3
44;2;HD;MA;3w;11;3
44;3;OA;fy;3t;8;3
44;3;OD;ol;3y;9;3
44;4;HD;MA;3w;16;3
45;1;HD;MA;3w;11;3
45;2;SR;BT;3w;10;3
45;3;OA;fy;3t;1;3
45;3;TT;re;3w;2;3
46;1;BB;EN;3x;2;3
46;1;AP;HI;3w;14;3
46;2;BE;DA;3x;8;3
46;2;LM;EN;3y;4;3
46;3;SR;BT;3w;16;3
46;4;OD;ol;3x;18;3
47;1;BE;DA;3x;12;3
47;3;SR;BT;3w;0;3
47;4;PL;DA;3y;7;3
47;4;TQ;SA;3x;14;3
48;1;TT;re;3t;8;3
48;1;OD;ol;3x;4;3
48;1;SR;BT;3w;5;3
48;3;LM;EN;3y;7;3
48;4;OD;ol;3x;10;3
48;4;PL;DA;3y;15;3
49;2;LM;EN;3y;19;3
50;1;PL;DA;3y;17;3
50;1;MD;Fy;3x;10;3
50;2;KD;HI;3x;19;3
50;2;OD;HI;3t;3;3
50;4;HD;MA;3w;4;3
50;4;KD;HI;3x;13;3
51;2;TQ;SA;3x;2;3
51;2;OA;fy;3t;11;3
51;3;OA;Fy;3w;1;3
51;3;PL;DA;3y;6;3
51;4;LM;EN;3y;7;3
52;1;PW;EN;3t;7;3
52;2;LM;EN;3y;0;3
52;2;TQ;SA;3x;14;3
52;2;AP;HI;3w;8;3
52;3;KD;HI;3x;7;3
52;3;SR;BT;3w;12;3
52;4;TT;re;3w;3;3
